"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846043_3663846045[Simulated Levels\iTraxx Europe OTR 5Y]"
"0","20250811","99.997722685","99.997722685"
"0","20250812","100.009320374","100.009320374"
"0","20250813","100.010509179","100.010509179"
"0","20250814","99.9991419742","99.9991419742"
"0","20250815","100.002471076","100.002471076"
"0","20250818","99.9997658574","99.9997658574"
"0","20250819","100.002132346","100.002132346"
"0","20250820","99.9893592778","99.9893592778"
"0","20250821","99.9929711779","99.9929711779"
"0","20250822","100.016209552","100.016209552"
"0","20250825","100","100"
"0","20250826","99.9832811928","99.9832811928"
"0","20250827","99.9800244411","99.9800244411"
"0","20250828","100.003087637","100.003087637"
"0","20250829","99.9895428001","99.9895428001"
"0","20250901","100.000085823","100.000085823"
"0","20250902","99.9853776273","99.9853776273"
"0","20250903","100.016553675","100.016553675"
"0","20250904","100.012670639","100.012670639"
"0","20250905","100.001193267","100.001193267"
"0","20250908","100.008037212","100.008037212"
"0","20250909","100.001312399","100.001312399"
"0","20250910","100.005666102","100.005666102"
"0","20250911","100.01754382","100.01754382"
"0","20250912","100.000982929","100.000982929"
"0","20250915","100.009467602","100.009467602"
"0","20250916","99.9897933525","99.9897933525"
"0","20250917","100.001913209","100.001913209"
"0","20250918","100.008596661","100.008596661"
"0","20250919","99.9971845828","99.9971845828"
"0","20250922","99.9930442184","99.9930442184"
"0","20250923","100.000649421","100.000649421"
"0","20250924","99.988822664","99.988822664"
"0","20250925","99.9824336479","99.9824336479"
"0","20250926","100.000531469","100.000531469"
"0","20250929","99.9985938233","99.9985938233"
"0","20250930","99.991882064","99.991882064"
"0","20251001","100.000670223","100.000670223"
"0","20251002","99.9983039253","99.9983039253"
"0","20251003","99.9926349401","99.9926349401"
"0","20251006","99.9922345295","99.9922345295"
"0","20251007","99.9926533646","99.9926533646"
"0","20251008","100.003924897","100.003924897"
"0","20251009","99.9896295386","99.9896295386"
"0","20251010","99.9781543423","99.9781543423"
"0","20251013","100.005918312","100.005918312"
"0","20251014","100.008073731","100.008073731"
"0","20251015","100.018200753","100.018200753"
"0","20251016","99.9905669941","99.9905669941"
"0","20251017","99.9893998259","99.9893998259"
