"level","Scenario[Scenario]","Simulated Level [1][Simulated Level]"
"0","20250401","1001778.91791"
"0","20250402","996819.98607"
"0","20250403","990524.561096"
"0","20250404","1009773.00692"
"0","20250407","995975.493762"
"0","20250408","996397.904664"
"0","20250409","989299.549995"
"0","20250410","992599.216442"
"0","20250411","989446.230189"
"0","20250414","1003226.08562"
"0","20250415","1003507.80243"
"0","20250416","999340.344561"
"0","20250417","1001864.87222"
"0","20250418","1000173.15161"
"0","20250421","989575.120506"
"0","20250422","1001891.53916"
"0","20250423","1007292.433"
"0","20250424","1001892.9355"
"0","20250425","1000861.6987"
"0","20250428","1001023.1963"
"0","20250429","1001425.85409"
"0","20250430","1001887.01428"
"0","20250501","1002334.2612"
"0","20250502","992344.297696"
"0","20250505","1001310.13832"
"0","20250506","1002086.88698"
"0","20250507","999551.751018"
"0","20250508","1000843.14089"
"0","20250509","999788.320781"
"0","20250512","1004361.36943"
"0","20250513","997021.346025"
"0","20250514","995517.570191"
"0","20250515","1005176.81736"
"0","20250516","1002423.96822"
"0","20250519","994702.880426"
"0","20250520","997373.777705"
"0","20250521","992911.040197"
"0","20250522","1004447.68184"
"0","20250523","999271.917531"
"0","20250526","998291.512946"
"0","20250527","1004728.71007"
"0","20250528","1000682.74971"
"0","20250529","998876.790798"
"0","20250530","1000845.18015"
"0","20250602","994838.990627"
"0","20250603","1002039.12875"
"0","20250604","1000527.0921"
"0","20250605","997295.738952"
"0","20250606","1000703.97965"
"0","20250609","999946.898987"
"0","20250610","999570.588244"
"0","20250611","997573.73607"
"0","20250612","997161.468806"
"0","20250613","999707.237971"
"0","20250616","996141.252195"
"0","20250617","1004174.10394"
"0","20250618","1001624.42198"
"0","20250619","1001361.46024"
"0","20250620","997627.399555"
"0","20250623","1000040.87871"
"0","20250624","998021.125952"
"0","20250625","999223.613624"
"0","20250626","997354.121385"
"0","20250627","997544.291347"
"0","20250630","1000547.47706"
"0","20250701","998723.40115"
"0","20250702","998168.562751"
"0","20250703","999582.343911"
"0","20250704","998977.657521"
"0","20250707","999145.188868"
"0","20250708","1000255.15383"
"0","20250709","1000575.39501"
"0","20250710","1001611.47824"
"0","20250711","996115.39797"
"0","20250714","999138.095077"
"0","20250715","1002031.55155"
"0","20250716","1002599.76823"
"0","20250717","1000366.6494"
"0","20250718","997305.784655"
"0","20250721","1000120.35567"
"0","20250722","1000330.64616"
"0","20250723","997747.417461"
"0","20250724","996505.892875"
"0","20250725","1001158.97697"
"0","20250728","1005584.82397"
"0","20250729","1008783.71668"
"0","20250730","1000862.13792"
"0","20250731","1001366.84883"
"0","20250801","997735.969308"
"0","20250804","1002338.63775"
"0","20250805","999822.308424"
"0","20250806","995645.032514"
"0","20250807","1000668.59537"
"0","20250808","996073.018493"
"0","20250811","1003293.50963"
"0","20250812","995173.214224"
"0","20250813","999980.535784"
"0","20250814","1001310.80564"
"0","20250815","994799.267296"
"0","20250818","1001545.71719"
"0","20250819","999685.462345"
"0","20250820","1001502.4682"
"0","20250821","1000236.14181"
"0","20250822","997433.466495"
"0","20250825","1000913.52813"
"0","20250826","1002440.53579"
"0","20250827","1004156.77329"
"0","20250828","997344.481804"
"0","20250829","997298.254178"
"0","20250901","998713.34254"
"0","20250902","999672.294737"
"0","20250903","1002114.26035"
"0","20250904","1003610.63214"
"0","20250905","998297.823517"
"0","20250908","1001041.21531"
"0","20250909","1000130.27858"
"0","20250910","1001389.59632"
"0","20250911","1001052.37065"
"0","20250912","998436.707935"
"0","20250915","999523.791803"
"0","20250916","995302.35838"
"0","20250917","999659.239876"
"0","20250918","1001666.55915"
"0","20250919","999795.040158"
"0","20250922","998025.898876"
"0","20250923","999495.730155"
"0","20250924","1001077.29488"
"0","20250925","1002030.83889"
"0","20250926","998762.66976"
"0","20250929","1000445.46423"
"0","20250930","999229.694005"
"0","20251001","1001782.13696"
"0","20251002","1002009.28866"
"0","20251003","997887.121882"
"0","20251006","998289.497944"
"0","20251007","1003060.51333"
"0","20251008","1002855.37312"
"0","20251009","1000805.10037"
"0","20251010","1003069.6159"
"0","20251013","1001426.02045"
"0","20251014","998986.088329"
"0","20251015","999977.06523"
"0","20251016","999062.057257"
"0","20251017","999805.451909"
